https://www.sports.ru/tribuna/blogs/entertainment/; Лекарство от скуки; Олимпийские впечатления; 25 декабря 2009; Закрытый; 9; Фигурное катание; Ванкувер-2010| сборная России| Уле Эйнар Бьорндален| эстафета| Евгений Плющенко| Юко Кавагути| Александр Смирнов| Валентин Писеев| Максим Шабалин| Оксана Домнина; https://www.sports.ru/profile/56797839/
https://www.sports.ru/tribuna/blogs/epiphany/; Откровения и прозрения; Мысли дрожащей твари; 15 февраля 2019; Закрытый; 3; Фигурное катание; Алина Загитова| Этери Тутберидзе| Евгения Медведева; https://www.sports.ru/profile/1071231791/
https://www.sports.ru/tribuna/blogs/essentrinken/; Кулинарные пируэты; Ты то, что ты ешь; 26 июня 2015; Закрытый; 44; Фигурное катание; Елизавета Туктамышева| Мария Шарапова| Марио Гомес; https://www.sports.ru/profile/136640920/
https://www.sports.ru/tribuna/blogs/eteritutberidze/; Тутберидзе и Ко; Разные всякости об Этери Тутберидзе и ее воспитанниках; 21 ноября 2018; Открытый c премодерацией; 2; Фигурное катание; Этери Тутберидзе; https://www.sports.ru/profile/1066893922/
https://www.sports.ru/tribuna/blogs/etopodstava/; Это подстава; Музыка другая - фигуристы те же; 23 сентября 2016; Закрытый; 11; Фигурное катание; Татьяна Тарасова; https://www.sports.ru/profile/30555337/
https://www.sports.ru/tribuna/blogs/eugenefskater/; Фигурнокатательные Страсти; Особенности налёдного лова, или Who is Who в мире фигурного катания; 8 июня 2018; Открытый; 0; Фигурное катание; Брайан Орсер| Евгения Медведева| Этери Тутберидзе| Алина Загитова; https://www.sports.ru/profile/1050908661/
https://www.sports.ru/tribuna/blogs/evgeniamedvedeva/; Евгения Медведева; Евгения Медведева; 25 декабря 2018; Открытый; 19; Фигурное катание; Евгения Медведева| Брайан Орсер| женское катание| ФКСР (Союз конькобежцев России)| Илья Авербух| Миша Ге| Трейси Уилсон| Татьяна Тарасова; https://www.sports.ru/profile/1051095877/
https://www.sports.ru/tribuna/blogs/evgeniamedvedevateam/; The team of Evgenia Medvedeva; This blog dedicated to Russian figure skater — Evgenia Medvedeva; 31 мая 2017; Закрытый; 4; Фигурное катание; ISU| Этери Тутберидзе| Евгения Медведева; https://www.sports.ru/profile/1051046070/
https://www.sports.ru/tribuna/blogs/evgeniyafromcanadaznews/; Спектральный анализ; субъективно-контрастный обзор; 12 января 2019; Закрытый; 8; Фигурное катание; Брайан Орсер| Евгения Медведева; https://www.sports.ru/profile/1067317110/
https://www.sports.ru/tribuna/blogs/fanatfk/; Other; Other FK; 26 августа 2010; Закрытый; 6; Фигурное катание; Вера Базарова| Сара Мейер| Анаис Моран| Стефан Ламбьель| Тесса Виртью| Мария Мухортова| Бриан Жубер| Албан Пробер| Алена Савченко; https://www.sports.ru/profile/72623229/
https://www.sports.ru/tribuna/blogs/fanfigureskatting/; Взгляд со стороны; Анонсы и прогнозы соревнований. Взгляды на костюмы и программы.; 7 декабря 2016; Открытый c премодерацией; 1; Фигурное катание; сборная России; https://www.sports.ru/profile/1038756143/
https://www.sports.ru/tribuna/blogs/fanoffigureskating/; Влюбленная в Фигурное Катание; Однажды увидев фигурное катание, влюбилась раз и навсегда в это искусство; 18 октября 2016; Открытый c премодерацией; 21; Фигурное катание; Евгения Медведева; https://www.sports.ru/profile/1044891374/
https://www.sports.ru/tribuna/blogs/fcforever/; Слегка о ФК; Взгляд болельщика; 20 мая 2019; Открытый; 1; Фигурное катание; Алина Загитова| Евгения Медведева| чемпионат мира| Этери Тутберидзе; https://www.sports.ru/profile/1070328196/
https://www.sports.ru/tribuna/blogs/fcmem2018/; фигурка; фк; 5 сентября 2018; Закрытый; 0; Фигурное катание; Кевин Серафин; https://www.sports.ru/profile/1060881031/
https://www.sports.ru/tribuna/blogs/figgaa/; Ледяное сердце; Субъективно о фигурном катании; 22 января 2014; Открытый c премодерацией; 5; Фигурное катание; Сочи-2014; https://www.sports.ru/profile/146360469/
https://www.sports.ru/tribuna/blogs/figireskating/; В межсезонье ФК; Сезон 2014/2015; 18 мая 2015; Открытый c премодерацией; 1; Фигурное катание; женское катание| мужское катание; https://www.sports.ru/profile/1029836727/
https://www.sports.ru/tribuna/blogs/figskatingrus/; ФК - Прогнозы и мнения; Обсуждаем насущные вопросы женского одиночного фигурного катания; 27 ноября 2018; Закрытый; 7; Фигурное катание; Александра Трусова| Елизавета Туктамышева| Станислава Константинова| Алина Загитова| Евгения Медведева; https://www.sports.ru/profile/1069113547/
https://www.sports.ru/tribuna/blogs/figura/; Фигурнокатательная тропа; Что вижу, то и пишу о фигурном катании; 30 января 2013; Открытый c премодерацией; 6; Фигурное катание; сборная России; https://www.sports.ru/profile/146447476/
https://www.sports.ru/tribuna/blogs/figura_rechi/; Фигура речи; О фигурном катании с аргументацией; 16 января 2017; Закрытый; 30; Фигурное катание; Алексей Ягудин; https://www.sports.ru/profile/1047503363/
